article_id,language,content
2,Tamil,2. புதிய மாநிலங்களின் சேர்க்கை அல்லது ஸ்தாபனம்: பாராளுமன்றம் சட்டப்படி யூனியனுக்குள் அனுமதிக்கலாம் அல்லது புதிய மாநிலங்களை நிறுவலாம்.
2,Marathi,Error 504 (Server Error)!!1504.That’s an error.There was an error. Please try again later.That’s all we know.
2A,English,"2A. Sikkim to be associated with the Union Rep by the Constitution Thirty six Amendment Act, 1975 , Section 5 (w e f 26 04 1975 )"
2A,Hindi,"2ए. संविधान छत्तीसवें संशोधन अधिनियम, 1975, धारा 5 (26 04 1975 से प्रभावी) द्वारा सिक्किम को संघ प्रतिनिधि के साथ जोड़ा जाएगा।"
2A,Tamil,"2A. சிக்கிம் அரசியலமைப்பின் முப்பத்தி ஆறு திருத்தச் சட்டம், 1975, பிரிவு 5 (w e f 26 04 1975 ) மூலம் யூனியன் பிரதிநிதியுடன் இணைக்கப்பட வேண்டும்"
3,English,"3. Formation of new States and alteration of areas, boundaries or names of existing States: Parliament may by law
(a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;
(b) increase the area of any State;
(c) diminish the area of any State;
(d) alter the boundaries of any State;
(e) alter the name of any State; Provided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the Bill affects the area, boundaries or name of any of the States, the Bill has been referred by the President to the Legislature of that State for expressing its views thereon within such period as may be specified in the reference or within such further period as the President may allow and the period so specified or allowed has expired Explanation I In this article, in clauses (a) to (e), State includes a Union territory, but in the proviso, State does not include a Union territory Explanation II The power conferred on Parliament by clause (a) includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory"
3,Hindi,"3. नए राज्यों का गठन और मौजूदा राज्यों के क्षेत्रों, सीमाओं या नामों में परिवर्तन: संसद कानून द्वारा कर सकती है
(ए) किसी राज्य से क्षेत्र को अलग करके या दो या दो से अधिक राज्यों या राज्यों के हिस्सों को एकजुट करके या किसी राज्य के किसी हिस्से को किसी क्षेत्र को एकजुट करके एक नया राज्य बना सकता है;
(बी) किसी राज्य का क्षेत्रफल बढ़ाएगा;
(सी) किसी राज्य के क्षेत्र को कम करना;
(डी) किसी भी राज्य की सीमाओं को बदल देगा;
(ई) किसी भी राज्य का नाम बदल देगा; बशर्ते कि इस उद्देश्य के लिए कोई भी विधेयक राष्ट्रपति की सिफारिश के अलावा संसद के किसी भी सदन में पेश नहीं किया जाएगा और जब तक कि विधेयक में निहित प्रस्ताव किसी भी राज्य के क्षेत्र, सीमाओं या नाम को प्रभावित नहीं करता है, तब तक विधेयक को राष्ट्रपति द्वारा उस राज्य के विधानमंडल को उस अवधि के भीतर अपने विचार व्यक्त करने के लिए भेजा गया है जो संदर्भ में निर्दिष्ट किया जा सकता है या ऐसी अतिरिक्त अवधि के भीतर जिसे राष्ट्रपति अनुमति दे सकते हैं और इस प्रकार निर्दिष्ट या अनुमति दी गई अवधि समाप्त हो गई है स्पष्टीकरण I इस लेख में, खंड (ए) से (ई) में, राज्य शामिल है केंद्र शासित प्रदेश, लेकिन परंतुक में, राज्य में केंद्र शासित प्रदेश शामिल नहीं है स्पष्टीकरण II खंड (ए) द्वारा संसद को प्रदत्त शक्ति में किसी भी राज्य या केंद्र शासित प्रदेश के एक हिस्से को किसी अन्य राज्य या केंद्र शासित प्रदेश में मिलाकर एक नया राज्य या केंद्र शासित प्रदेश बनाने की शक्ति शामिल है।"
3,Tamil,"3. புதிய மாநிலங்களை உருவாக்குதல் மற்றும் தற்போதுள்ள மாநிலங்களின் பகுதிகள், எல்லைகள் அல்லது பெயர்களை மாற்றுதல்: பாராளுமன்றம் சட்டப்படி செய்யலாம்
(அ) எந்தவொரு மாநிலத்திலிருந்தும் பிரதேசத்தைப் பிரிப்பதன் மூலம் அல்லது இரண்டு அல்லது அதற்கு மேற்பட்ட மாநிலங்கள் அல்லது மாநிலங்களின் பகுதிகளை ஒன்றிணைப்பதன் மூலம் அல்லது எந்தவொரு மாநிலத்தின் ஒரு பகுதிக்கும் எந்தவொரு பிரதேசத்தையும் இணைப்பதன் மூலம் ஒரு புதிய மாநிலத்தை உருவாக்குதல்;
(ஆ) எந்த மாநிலத்தின் பரப்பளவையும் அதிகரிக்கவும்;
(c) எந்த மாநிலத்தின் பரப்பளவையும் குறைத்தல்;
(ஈ) எந்த மாநிலத்தின் எல்லைகளையும் மாற்றுதல்;
(இ) எந்த மாநிலத்தின் பெயரையும் மாற்றவும்; குடியரசுத் தலைவரின் பரிந்துரையின் பேரில், நாடாளுமன்றத்தின் இரு அவைகளிலும் இந்த நோக்கத்திற்காக எந்த மசோதாவும் அறிமுகப்படுத்தப்படாது மற்றும் மசோதாவில் உள்ள முன்மொழிவு எந்த மாநிலத்தின் பகுதி, எல்லைகள் அல்லது பெயரைப் பாதிக்காதபட்சத்தில், அந்த மசோதா குடியரசுத் தலைவரால் அந்த மாநிலத்தின் சட்டமன்றத்திற்கு அதன் கருத்துகளைத் தெரிவிக்க பரிந்துரைக்கப்படுகிறது. காலாவதியானது விளக்கம் I இந்தக் கட்டுரையில், (a) முதல் (e) வரையிலான உட்பிரிவுகளில், மாநிலம் ஒரு யூனியன் பிரதேசத்தை உள்ளடக்கியது, ஆனால் விதியில், மாநிலம் யூனியன் பிரதேசத்தை சேர்க்கவில்லை விளக்கம் II பிரிவு (a) மூலம் பாராளுமன்றத்திற்கு வழங்கப்பட்ட அதிகாரம், எந்தவொரு மாநிலம் அல்லது யூனியன் பிரதேசத்தின் ஒரு பகுதியை வேறு எந்த மாநிலம் அல்லது யூனியன் பிரதேசத்துடன் இணைத்து புதிய மாநிலம் அல்லது யூனியன் பிரதேசத்தை உருவாக்கும் அதிகாரத்தை உள்ளடக்கியது."
3,Marathi,Error 504 (Server Error)!!1504.That’s an error.There was an error. Please try again later.That’s all we know.
4,English,"4. Laws made under Articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters
(1) Any law referred to in Article 2 or Article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law) as Parliament may deem necessary
(2) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of Article 368 PART II C ITIZENSHIP"
4,Hindi,"4. पहली और चौथी अनुसूची और पूरक, आकस्मिक और परिणामी मामलों में संशोधन के लिए अनुच्छेद 2 और 3 के तहत बनाए गए कानून
(1) अनुच्छेद 2 या अनुच्छेद 3 में निर्दिष्ट किसी भी कानून में पहली अनुसूची और चौथी अनुसूची के संशोधन के लिए ऐसे प्रावधान शामिल होंगे जो कानून के प्रावधानों को प्रभावी बनाने के लिए आवश्यक हो सकते हैं और इसमें ऐसे पूरक, आकस्मिक और परिणामी प्रावधान भी शामिल हो सकते हैं (संसद में और ऐसे कानून से प्रभावित राज्य या राज्यों के विधानमंडल या विधानमंडलों में प्रतिनिधित्व के प्रावधानों सहित) जो संसद आवश्यक समझे।
(2) उपर्युक्त जैसा कोई भी कानून अनुच्छेद 368 भाग II सी नागरिकता के प्रयोजनों के लिए इस संविधान का संशोधन नहीं माना जाएगा।"
4,Tamil,"4. முதல் மற்றும் நான்காவது அட்டவணைகள் மற்றும் துணை, தற்செயலான மற்றும் விளைவான விஷயங்களைத் திருத்துவதற்கு விதிகள் 2 மற்றும் 3ன் கீழ் உருவாக்கப்பட்ட சட்டங்கள்
(1) உறுப்புரை 2 அல்லது பிரிவு 3 இல் குறிப்பிடப்பட்டுள்ள எந்தவொரு சட்டமும் முதல் அட்டவணை மற்றும் நான்காவது அட்டவணையின் திருத்தத்திற்கான விதிகளைக் கொண்டிருக்க வேண்டும், அது சட்டத்தின் விதிகளை செயல்படுத்துவதற்குத் தேவையானது மற்றும் அத்தகைய துணை, தற்செயலான மற்றும் பின்விளைவு விதிகள் (பாராளுமன்றம் அல்லது சட்டமன்றங்களில் உள்ள விதிகள் உட்பட) அத்தகைய சட்டத்தின் மூலம்) பாராளுமன்றம் தேவை என்று கருதலாம்
(2) மேற்கூறிய எந்த ஒரு சட்டமும், பிரிவு 368 பகுதி II சி ஐடிசன்ஷிப்பின் நோக்கங்களுக்காக இந்த அரசியலமைப்பின் திருத்தமாக கருதப்படாது."
4,Marathi,"4. प्रथम आणि चौथ्या अनुसूची आणि पूरक, आनुषंगिक आणि परिणामी बाबींमध्ये सुधारणा करण्यासाठी तरतूद करण्यासाठी अनुच्छेद 2 आणि 3 अंतर्गत केलेले कायदे
(१) अनुच्छेद २ किंवा अनुच्छेद ३ मध्ये संदर्भित कोणत्याही कायद्यामध्ये कायद्याच्या तरतुदींना लागू करण्यासाठी आवश्यक असलेल्या पहिल्या अनुसूची आणि चौथ्या अनुसूचीच्या दुरुस्तीसाठी अशा तरतुदी असतील आणि त्यात अशा पूरक, आनुषंगिक आणि परिणामी तरतुदी देखील असू शकतात (संसदेत किंवा अशा राज्यांच्या लेगी किंवा लेगी द्वारे प्रभावित राज्यांमध्ये प्रतिनिधित्व करण्याच्या तरतुदींसह). कायदा) संसद आवश्यक वाटेल
(२) उपरोक्त असा कोणताही कायदा कलम ३६८ भाग II सी आयटीआयझेनशिपच्या हेतूने या संविधानाची दुरुस्ती आहे असे मानले जाणार नाही."
5,English,"5. Citizenship at the commencement of the Constitution At the commencement of this Constitution every person who has his domicile in the territory of India and
(a) who was born in the territory of India; or
(b) either of whose parents was born in the territory of India; or
(c) who has been ordinarily resident in the territory of India for not less than five years preceding such commencement, shall be a citizen of India"
5,Hindi,"5. संविधान के प्रारंभ में नागरिकता इस संविधान के प्रारंभ में प्रत्येक व्यक्ति जिसका अधिवास भारत के क्षेत्र में है और
(ए) जो भारत के क्षेत्र में पैदा हुआ था; या
(बी) जिनके माता-पिता में से कोई एक भारत के क्षेत्र में पैदा हुआ था; या
(सी) जो इस तरह के प्रारंभ से कम से कम पांच साल पहले भारत के क्षेत्र में सामान्य रूप से निवासी रहा हो, वह भारत का नागरिक होगा"
5,Tamil,"5. அரசியலமைப்பின் தொடக்கத்தில் குடியுரிமை, இந்த அரசியலமைப்பின் தொடக்கத்தில், இந்தியப் பிரதேசத்தில் வசிக்கும் ஒவ்வொரு நபரும் மற்றும்
(அ) இந்தியாவின் பிரதேசத்தில் பிறந்தவர்; அல்லது
(ஆ) யாருடைய பெற்றோரில் ஒருவர் இந்தியாவின் பிரதேசத்தில் பிறந்தவர்கள்; அல்லது
(c) அத்தகைய தொடக்கத்திற்கு முன் ஐந்து ஆண்டுகளுக்குக் குறையாமல் இந்தியப் பிரதேசத்தில் சாதாரணமாக வசிப்பவர், இந்தியக் குடிமகனாக இருக்க வேண்டும்"
5,Marathi,"5. संविधानाच्या प्रारंभाच्या वेळी नागरिकत्व या संविधानाच्या प्रारंभाच्या वेळी प्रत्येक व्यक्ती ज्याचे भारताच्या प्रदेशात अधिवास आहे आणि
(a) ज्याचा जन्म भारताच्या प्रदेशात झाला; किंवा
(b) ज्यांच्या पालकांपैकी एकाचा जन्म भारताच्या प्रदेशात झाला आहे; किंवा
(c) जो सामान्यतः भारताच्या हद्दीत अशा सुरू होण्याच्या अगोदर पाच वर्षांपेक्षा कमी काळ रहिवासी आहे, तो भारताचा नागरिक असेल"
6,English,"6. Rights of citizenship of certain persons who have migrated to India from Pakistan Notwithstanding anything in Article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if
(a) he or either of his parents or any of his grand parents was born in India as defined in the Government of India Act, 1935 (as originally enacted); and
(b)
(i) in the case where such person has so migrated before the nineteenth day of July, 1948 , he has been ordinarily resident in the territory of India since the date of his migration, or
(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948 , he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him therefor to such officer before the commencement of this Constitution in the form and manner prescribed by that Government: Provided that no person shall be so registered unless he has been resident in the territory of India or at least six months immediately preceding the date of his application"
6,Hindi,"6. पाकिस्तान से भारत में प्रवास करने वाले कुछ व्यक्तियों के नागरिकता के अधिकार अनुच्छेद 5 में किसी भी बात के बावजूद, एक व्यक्ति जो अब पाकिस्तान में शामिल क्षेत्र से भारत के क्षेत्र में स्थानांतरित हो गया है, उसे इस संविधान के प्रारंभ में भारत का नागरिक माना जाएगा यदि
(ए) उनका या उनके माता-पिता या उनके दादा-दादी में से किसी का जन्म भारत सरकार अधिनियम, 1935 (जैसा कि मूल रूप से अधिनियमित) में परिभाषित है, भारत में हुआ था; और
(बी)
(i) ऐसे मामले में जहां ऐसा व्यक्ति जुलाई, 1948 के उन्नीसवें दिन से पहले प्रवास कर चुका है, वह अपने प्रवास की तारीख से भारत के क्षेत्र में सामान्य रूप से निवासी रहा है, या
(ii) ऐसे मामले में जहां ऐसा व्यक्ति जुलाई, 1948 के उन्नीसवें दिन या उसके बाद इस प्रकार प्रवासित हुआ है, उसे इस संविधान के प्रारंभ होने से पहले उस सरकार द्वारा निर्धारित फॉर्म और तरीके से ऐसे अधिकारी को दिए गए आवेदन पर भारत के डोमिनियन सरकार द्वारा नियुक्त एक अधिकारी द्वारा भारत के नागरिक के रूप में पंजीकृत किया गया है: बशर्ते कि कोई भी व्यक्ति तब तक पंजीकृत नहीं किया जाएगा जब तक कि वह भारत के क्षेत्र में निवासी न हो या अपने आवेदन की तारीख से कम से कम छह महीने पहले तुरंत निवासी न हो।"
6,Tamil,"6. பாகிஸ்தானில் இருந்து இந்தியாவிற்கு குடிபெயர்ந்த சில நபர்களின் குடியுரிமை உரிமைகள் பிரிவு 5 இல் இருந்தபோதிலும், இப்போது பாகிஸ்தானில் சேர்க்கப்பட்டுள்ள பிரதேசத்தில் இருந்து இந்திய எல்லைக்கு குடிபெயர்ந்த ஒருவர் இந்த அரசியலமைப்பின் தொடக்கத்தில் இந்தியாவின் குடிமகனாக கருதப்படுவார்
(அ) இந்திய அரசு சட்டம், 1935 (முதலில் இயற்றப்பட்டபடி) வரையறுக்கப்பட்டுள்ளபடி, அவர் அல்லது அவரது பெற்றோர் அல்லது அவரது தாத்தா பெற்றோர்களில் யாராவது இந்தியாவில் பிறந்தவர்கள்; மற்றும்
(ஆ)
(i) அத்தகைய நபர் 1948 ஆம் ஆண்டு ஜூலை மாதம் பத்தொன்பதாம் நாளுக்கு முன்னர் இடம்பெயர்ந்திருந்தால், அவர் குடிபெயர்ந்த நாளிலிருந்து சாதாரணமாக இந்தியப் பிரதேசத்தில் வசிப்பவர் அல்லது
(ii) அத்தகைய நபர் 1948 ஆம் ஆண்டு ஜூலை பத்தொன்பதாம் நாளிலோ அல்லது அதற்குப் பின்னரோ புலம்பெயர்ந்திருந்தால், அவர் இந்தியக் குடிமகனாக இந்தியக் குடிமகனாகப் பதிவு செய்யப்பட்டுள்ளார். அவர் விண்ணப்பித்த தேதிக்கு முன்னதாக குறைந்தது ஆறு மாதங்கள்"
6,Marathi,Error 504 (Server Error)!!1504.That’s an error.There was an error. Please try again later.That’s all we know.
7,English,"7. Rights of citizenship of certain migrants to Pakistan Notwithstanding anything in Articles 5 and 6, a person who has after the first day of March, 1947 , migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India: Provided that nothing in this article shall apply to a person who, after having so migrated to the territory now included in Pakistan, has returned to the territory of India under a permit for resettlement or permanent return issued by or under the authority of any law and every such person shall for the purposes of clause (b) of Article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948"
7,Hindi,"7. पाकिस्तान में कुछ प्रवासियों के नागरिकता के अधिकार अनुच्छेद 5 और 6 में किसी भी बात के बावजूद, एक व्यक्ति जो मार्च, 1947 के पहले दिन के बाद भारत के क्षेत्र से अब पाकिस्तान में शामिल क्षेत्र में स्थानांतरित हो गया है, उसे भारत का नागरिक नहीं माना जाएगा: बशर्ते कि इस अनुच्छेद में कुछ भी उस व्यक्ति पर लागू नहीं होगा, जो अब पाकिस्तान में शामिल क्षेत्र में प्रवास करने के बाद, पुनर्वास या स्थायी वापसी के लिए जारी परमिट के तहत भारत के क्षेत्र में वापस आ गया है। किसी भी कानून के प्राधिकारी और ऐसे प्रत्येक व्यक्ति को अनुच्छेद 6 के खंड (बी) के प्रयोजनों के लिए जुलाई, 1948 के उन्नीसवें दिन के बाद भारत के क्षेत्र में प्रवासित माना जाएगा।"
7,Tamil,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
7,Marathi,"7. काही स्थलांतरितांचे पाकिस्तानमधील नागरिकत्वाचे अधिकार कलम 5 आणि 6 मध्ये काहीही असले तरीही, मार्च 1947 च्या पहिल्या दिवसानंतर, भारताच्या हद्दीतून आता पाकिस्तानमध्ये समाविष्ट असलेल्या प्रदेशात स्थलांतरित झालेल्या व्यक्तीला भारताचे नागरिक मानले जाणार नाही: परंतु या अनुच्छेदातील कोणतीही गोष्ट ज्याने आता पाकिस्तानमध्ये समाविष्ट केली नसेल, त्या व्यक्तीला लागू होणार नाही. पुनर्वसनासाठी किंवा कोणत्याही कायद्याच्या अधिकाराखाली जारी केलेल्या पुनर्वसन किंवा कायमस्वरूपी परतीच्या परवानग्या अंतर्गत भारताच्या प्रदेशात परत आले आणि अशा प्रत्येक व्यक्तीने कलम 6 च्या खंड (ब) च्या उद्देशाने जुलै, 1948 च्या एकोणिसाव्या दिवसानंतर भारताच्या प्रदेशात स्थलांतर केले आहे असे मानले जाईल."
8,English,"8. Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935 (as originally enacted), and who is ordinarily residing in any country outside India as so defined shall be deemed to be a citizen of India if he has been registered as a citizen of India by the diplomatic or consular representative of India in the country where he is for the time being residing on an application made by him therefor to such diplomatic or consular representative, whether before or after the commencement of this Constitution, in the form and manner prescribed by the Government of the Dominion of India or the Government of India"
8,Hindi,"8. भारत से बाहर रहने वाले भारतीय मूल के कुछ व्यक्तियों के नागरिकता के अधिकार अनुच्छेद 5 में किसी भी बात के बावजूद, कोई भी व्यक्ति जो या जिनके माता-पिता या जिनके दादा-दादी में से किसी का जन्म भारत सरकार अधिनियम, 1935 (जैसा कि मूल रूप से अधिनियमित) में परिभाषित किया गया है, भारत में हुआ था, और जो सामान्य रूप से परिभाषित भारत के बाहर किसी भी देश में रह रहा है, उसे भारत का नागरिक माना जाएगा यदि उसे उस देश में भारत के राजनयिक या कांसुलर प्रतिनिधि द्वारा भारत के नागरिक के रूप में पंजीकृत किया गया है जहां वह फिलहाल है। उसके द्वारा ऐसे राजनयिक या कांसुलर प्रतिनिधि को दिए गए आवेदन पर, चाहे इस संविधान के प्रारंभ होने से पहले या बाद में, भारत डोमिनियन सरकार या भारत सरकार द्वारा निर्धारित रूप और तरीके से किया गया हो।"
8,Tamil,"8. இந்தியாவிற்கு வெளியே வசிக்கும் இந்திய வம்சாவளியைச் சேர்ந்த குறிப்பிட்ட நபர்களின் குடியுரிமைக்கான உரிமைகள், 1935 ஆம் ஆண்டு இந்திய அரசாங்கச் சட்டம் (முதலில் இயற்றப்பட்டபடி) வரையறுக்கப்பட்டுள்ளபடி, இந்தியாவில் பிறந்த அல்லது யாருடைய பெற்றோர் அல்லது யாருடைய தாத்தா பெற்றோரில் யாருடைய பெற்றோர் அல்லது யாருடைய தாத்தா பெற்றோரில் பிறந்தவர்கள், மற்றும் பொதுவாக இந்தியாவிற்கு வெளியே வசிக்கும் குடிமகன் என்று வரையறுக்கப்பட்டிருந்தால். தற்போதைக்கு அவர் வசிக்கும் நாட்டிலுள்ள இந்தியாவின் இராஜதந்திர அல்லது தூதரகப் பிரதிநிதியால், இந்த அரசியலமைப்பின் தொடக்கத்திற்கு முன்னரோ அல்லது பின்னரோ, இந்திய டொமினியன் அல்லது இந்திய அரசாங்கத்தால் பரிந்துரைக்கப்பட்ட வடிவத்திலும் முறையிலும், அத்தகைய இராஜதந்திர அல்லது தூதரக பிரதிநிதிக்கு அவர் செய்த விண்ணப்பத்தின் பேரில்"
8,Marathi,"8. भारताबाहेर राहणाऱ्या भारतीय वंशाच्या विशिष्ट व्यक्तींचे नागरिकत्वाचे अधिकार अनुच्छेद 5 मध्ये काहीही असले तरी, भारत सरकार कायदा, 1935 (मूळतः अधिनियमित केल्याप्रमाणे) मध्ये परिभाषित केल्याप्रमाणे कोणतीही व्यक्ती किंवा ज्यांचे आई-वडील किंवा ज्यांच्या आजी-आजोबांपैकी कोणीही भारतात जन्माला आला असेल आणि जो सामान्यतः भारताबाहेरील कोणत्याही देशात राहत असेल तर तो भारताच्या बाहेरील कोणत्याही देशात राहणारा म्हणून घोषित केला जाईल. भारताच्या मुत्सद्दी किंवा वाणिज्य दूतावासाच्या प्रतिनिधीने भारताचा नागरिक म्हणून नोंदणी केली असेल ज्या देशात तो सध्या राहत असेल अशा राजनयिक किंवा वाणिज्य दूतावासाच्या प्रतिनिधीने केलेल्या अर्जावर, ही राज्यघटना सुरू होण्यापूर्वी किंवा नंतर, भारताच्या अधिराज्य सरकारने किंवा भारत सरकारने विहित केलेल्या स्वरूपात आणि पद्धतीने."
9,English,"9. Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be deemed to be a citizen of India by virtue of Article 6 or Article 8, if he has voluntarily acquired the citizenship of any foreign State"
9,Hindi,"9. स्वेच्छा से किसी विदेशी राज्य की नागरिकता प्राप्त करने वाला व्यक्ति नागरिक नहीं होगा। कोई भी व्यक्ति अनुच्छेद 5 के आधार पर भारत का नागरिक नहीं होगा, या अनुच्छेद 6 या अनुच्छेद 8 के आधार पर भारत का नागरिक नहीं माना जाएगा, यदि उसने स्वेच्छा से किसी विदेशी राज्य की नागरिकता प्राप्त की है।"
9,Tamil,"9. குடிமக்களாக இருக்கக் கூடாது என்பதற்காக ஒரு வெளிநாட்டு மாநிலத்தின் குடியுரிமையை தானாக முன்வந்து பெறுபவர், எந்தவொரு நபரும் எந்த ஒரு வெளிநாட்டு மாநிலத்தின் குடியுரிமையை தானாக முன்வந்து பெற்றிருந்தால், அவர் கட்டுரை 5 இன் படி இந்தியக் குடிமகனாக இருக்கக்கூடாது அல்லது கட்டுரை 6 அல்லது பிரிவு 8 இன் அடிப்படையில் இந்தியக் குடிமகனாகக் கருதப்படமாட்டார்."
9,Marathi,"9. स्वेच्छेने परदेशी राज्याचे नागरिकत्व प्राप्त करणारी व्यक्ती नागरिक नसणे, कोणतीही व्यक्ती अनुच्छेद 5 नुसार भारताचा नागरिक असू शकत नाही किंवा अनुच्छेद 6 किंवा कलम 8 नुसार भारताचा नागरिक असल्याचे मानले जाऊ शकत नाही, जर त्याने स्वेच्छेने कोणत्याही परदेशी राज्याचे नागरिकत्व प्राप्त केले असेल."
10,English,"10. Continuance of the rights of citizenship Every person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continue to be such citizen"
10,Hindi,"10. नागरिकता के अधिकारों की निरंतरता प्रत्येक व्यक्ति जो इस भाग के पूर्वगामी प्रावधानों में से किसी के तहत भारत का नागरिक है या माना जाता है, संसद द्वारा बनाए गए किसी भी कानून के प्रावधानों के अधीन, ऐसा नागरिक बना रहेगा"
10,Tamil,"10. குடியுரிமைக்கான உரிமைகளைத் தொடர்தல், இந்தப் பகுதியின் மேற்கூறிய ஏதேனும் விதிகளின் கீழ் இந்தியக் குடிமகனாகக் கருதப்படும் அல்லது கருதப்படும் ஒவ்வொரு நபரும், நாடாளுமன்றத்தால் இயற்றப்படும் எந்தவொரு சட்டத்தின் விதிகளுக்கும் உட்பட்டு, அத்தகைய குடிமகனாகத் தொடர வேண்டும்."
10,Marathi,"10. नागरिकत्वाच्या अधिकारांचे सातत्य या भागाच्या कोणत्याही पूर्वगामी तरतुदींनुसार भारताचा नागरिक मानली जाणारी किंवा मानली जाणारी प्रत्येक व्यक्ती, संसदेद्वारे बनविलेल्या कोणत्याही कायद्याच्या तरतुदींच्या अधीन राहून, असे नागरिक म्हणून चालू राहील."
